Inf;Sup;null
2005-08-17, 08:00:00,000;2005-08-17, 08:59:59,999;487.0
2005-08-17, 09:00:00,000;2005-08-17, 09:59:59,999;461.0
2005-08-17, 10:00:00,000;2005-08-17, 10:59:59,999;353.0
2005-08-17, 11:00:00,000;2005-08-17, 11:59:59,999;298.0
2005-08-17, 12:00:00,000;2005-08-17, 12:59:59,999;316.0
2005-08-17, 13:00:00,000;2005-08-17, 13:59:59,999;354.0
2005-08-17, 14:00:00,000;2005-08-17, 14:59:59,999;412.0
2005-08-17, 15:00:00,000;2005-08-17, 15:59:59,999;463.0
2005-08-17, 16:00:00,000;2005-08-17, 16:59:59,999;471.0
2005-08-17, 17:00:00,000;2005-08-17, 17:59:59,999;481.0
2005-08-17, 18:00:00,000;2005-08-17, 18:59:59,999;379.0
2005-08-17, 19:00:00,000;2005-08-17, 19:59:59,999;354.0
2005-08-17, 20:00:00,000;2005-08-17, 20:59:59,999;271.0
2005-08-17, 21:00:00,000;2005-08-17, 21:59:59,999;255.0
2005-08-17, 22:00:00,000;2005-08-17, 22:59:59,999;184.0
2005-08-17, 23:00:00,000;2005-08-17, 23:59:59,999;127.0
2005-08-18, 00:00:00,000;2005-08-18, 00:59:59,999;74.0
2005-08-18, 01:00:00,000;2005-08-18, 01:59:59,999;48.0
2005-08-18, 02:00:00,000;2005-08-18, 02:59:59,999;30.0
2005-08-18, 03:00:00,000;2005-08-18, 03:59:59,999;27.0
2005-08-18, 04:00:00,000;2005-08-18, 04:59:59,999;39.0
2005-08-18, 05:00:00,000;2005-08-18, 05:59:59,999;88.0
2005-08-18, 06:00:00,000;2005-08-18, 06:59:59,999;218.0
2005-08-18, 07:00:00,000;2005-08-18, 07:59:59,999;393.0
2005-08-18, 08:00:00,000;2005-08-18, 08:59:59,999;403.0
2005-08-18, 09:00:00,000;2005-08-18, 09:59:59,999;365.0
2005-08-18, 10:00:00,000;2005-08-18, 10:59:59,999;314.0
2005-08-18, 11:00:00,000;2005-08-18, 11:59:59,999;307.0
2005-08-18, 12:00:00,000;2005-08-18, 12:59:59,999;335.0
2005-08-18, 13:00:00,000;2005-08-18, 13:59:59,999;332.0
2005-08-18, 14:00:00,000;2005-08-18, 14:59:59,999;398.0
2005-08-18, 15:00:00,000;2005-08-18, 15:59:59,999;393.0
2005-08-18, 16:00:00,000;2005-08-18, 16:59:59,999;354.0
2005-08-18, 17:00:00,000;2005-08-18, 17:59:59,999;353.0
2005-08-18, 18:00:00,000;2005-08-18, 18:59:59,999;331.0
2005-08-18, 19:00:00,000;2005-08-18, 19:59:59,999;325.0
2005-08-18, 20:00:00,000;2005-08-18, 20:59:59,999;205.0
2005-08-18, 21:00:00,000;2005-08-18, 21:59:59,999;226.0
2005-08-18, 22:00:00,000;2005-08-18, 22:59:59,999;136.0
2005-08-18, 23:00:00,000;2005-08-18, 23:59:59,999;100.0
2005-08-19, 00:00:00,000;2005-08-19, 00:59:59,999;53.0
2005-08-19, 01:00:00,000;2005-08-19, 01:59:59,999;44.0
2005-08-19, 02:00:00,000;2005-08-19, 02:59:59,999;30.0
2005-08-19, 03:00:00,000;2005-08-19, 03:59:59,999;27.0
2005-08-19, 04:00:00,000;2005-08-19, 04:59:59,999;39.0
2005-08-19, 05:00:00,000;2005-08-19, 05:59:59,999;96.0
2005-08-19, 06:00:00,000;2005-08-19, 06:59:59,999;218.0
2005-08-19, 07:00:00,000;2005-08-19, 07:59:59,999;339.0
2005-08-19, 08:00:00,000;2005-08-19, 08:59:59,999;424.0
2005-08-19, 09:00:00,000;2005-08-19, 09:59:59,999;334.0
2005-08-19, 10:00:00,000;2005-08-19, 10:59:59,999;340.0
2005-08-19, 11:00:00,000;2005-08-19, 11:59:59,999;300.0
2005-08-19, 12:00:00,000;2005-08-19, 12:59:59,999;353.0
2005-08-19, 13:00:00,000;2005-08-19, 13:59:59,999;338.0
2005-08-19, 14:00:00,000;2005-08-19, 14:59:59,999;389.0
2005-08-19, 15:00:00,000;2005-08-19, 15:59:59,999;377.0
2005-08-19, 16:00:00,000;2005-08-19, 16:59:59,999;357.0
2005-08-19, 17:00:00,000;2005-08-19, 17:59:59,999;358.0
2005-08-19, 18:00:00,000;2005-08-19, 18:59:59,999;405.0
2005-08-19, 19:00:00,000;2005-08-19, 19:59:59,999;357.0
2005-08-19, 20:00:00,000;2005-08-19, 20:59:59,999;288.0
2005-08-19, 21:00:00,000;2005-08-19, 21:59:59,999;270.0
2005-08-19, 22:00:00,000;2005-08-19, 22:59:59,999;245.0
2005-08-19, 23:00:00,000;2005-08-19, 23:59:59,999;141.0
2005-08-20, 00:00:00,000;2005-08-20, 00:59:59,999;98.0
2005-08-20, 01:00:00,000;2005-08-20, 01:59:59,999;88.0
2005-08-20, 02:00:00,000;2005-08-20, 02:59:59,999;69.0
2005-08-20, 03:00:00,000;2005-08-20, 03:59:59,999;35.0
2005-08-20, 04:00:00,000;2005-08-20, 04:59:59,999;30.0
2005-08-20, 05:00:00,000;2005-08-20, 05:59:59,999;54.0
2005-08-20, 06:00:00,000;2005-08-20, 06:59:59,999;109.0
2005-08-20, 07:00:00,000;2005-08-20, 07:59:59,999;166.0
2005-08-20, 08:00:00,000;2005-08-20, 08:59:59,999;202.0
2005-08-20, 09:00:00,000;2005-08-20, 09:59:59,999;270.0
2005-08-20, 10:00:00,000;2005-08-20, 10:59:59,999;259.0
2005-08-20, 11:00:00,000;2005-08-20, 11:59:59,999;280.0
2005-08-20, 12:00:00,000;2005-08-20, 12:59:59,999;287.0
2005-08-20, 13:00:00,000;2005-08-20, 13:59:59,999;309.0
2005-08-20, 14:00:00,000;2005-08-20, 14:59:59,999;327.0
2005-08-20, 15:00:00,000;2005-08-20, 15:59:59,999;230.0
2005-08-20, 16:00:00,000;2005-08-20, 16:59:59,999;308.0
2005-08-20, 17:00:00,000;2005-08-20, 17:59:59,999;310.0
2005-08-20, 18:00:00,000;2005-08-20, 18:59:59,999;314.0
2005-08-20, 19:00:00,000;2005-08-20, 19:59:59,999;307.0
2005-08-20, 20:00:00,000;2005-08-20, 20:59:59,999;245.0
2005-08-20, 21:00:00,000;2005-08-20, 21:59:59,999;223.0
2005-08-20, 22:00:00,000;2005-08-20, 22:59:59,999;203.0
2005-08-20, 23:00:00,000;2005-08-20, 23:59:59,999;173.0
2005-08-21, 00:00:00,000;2005-08-21, 00:59:59,999;125.0
2005-08-21, 01:00:00,000;2005-08-21, 01:59:59,999;135.0
2005-08-21, 02:00:00,000;2005-08-21, 02:59:59,999;119.0
2005-08-21, 03:00:00,000;2005-08-21, 03:59:59,999;84.0
2005-08-21, 04:00:00,000;2005-08-21, 04:59:59,999;67.0
2005-08-21, 05:00:00,000;2005-08-21, 05:59:59,999;40.0
2005-08-21, 06:00:00,000;2005-08-21, 06:59:59,999;66.0
2005-08-21, 07:00:00,000;2005-08-21, 07:59:59,999;86.0
2005-08-21, 08:00:00,000;2005-08-21, 08:59:59,999;150.0
2005-08-21, 09:00:00,000;2005-08-21, 09:59:59,999;185.0
2005-08-21, 10:00:00,000;2005-08-21, 10:59:59,999;242.0
2005-08-21, 11:00:00,000;2005-08-21, 11:59:59,999;270.0
2005-08-21, 12:00:00,000;2005-08-21, 12:59:59,999;247.0
2005-08-21, 13:00:00,000;2005-08-21, 13:59:59,999;278.0
2005-08-21, 14:00:00,000;2005-08-21, 14:59:59,999;310.0
2005-08-21, 15:00:00,000;2005-08-21, 15:59:59,999;297.0
2005-08-21, 16:00:00,000;2005-08-21, 16:59:59,999;240.0
2005-08-21, 17:00:00,000;2005-08-21, 17:59:59,999;280.0
2005-08-21, 18:00:00,000;2005-08-21, 18:59:59,999;286.0
2005-08-21, 19:00:00,000;2005-08-21, 19:59:59,999;240.0
2005-08-21, 20:00:00,000;2005-08-21, 20:59:59,999;226.0
2005-08-21, 21:00:00,000;2005-08-21, 21:59:59,999;193.0
2005-08-21, 22:00:00,000;2005-08-21, 22:59:59,999;154.0
2005-08-21, 23:00:00,000;2005-08-21, 23:59:59,999;87.0
2005-08-22, 00:00:00,000;2005-08-22, 00:59:59,999;56.0
2005-08-22, 01:00:00,000;2005-08-22, 01:59:59,999;49.0
2005-08-22, 02:00:00,000;2005-08-22, 02:59:59,999;24.0
2005-08-22, 03:00:00,000;2005-08-22, 03:59:59,999;15.0
2005-08-22, 04:00:00,000;2005-08-22, 04:59:59,999;39.0
2005-08-22, 05:00:00,000;2005-08-22, 05:59:59,999;89.0
2005-08-22, 06:00:00,000;2005-08-22, 06:59:59,999;209.0
2005-08-22, 07:00:00,000;2005-08-22, 07:59:59,999;383.0
2005-08-22, 08:00:00,000;2005-08-22, 08:59:59,999;375.0
2005-08-22, 09:00:00,000;2005-08-22, 09:59:59,999;322.0
2005-08-22, 10:00:00,000;2005-08-22, 10:59:59,999;286.0
2005-08-22, 11:00:00,000;2005-08-22, 11:59:59,999;280.0
2005-08-22, 12:00:00,000;2005-08-22, 12:59:59,999;279.0
2005-08-22, 13:00:00,000;2005-08-22, 13:59:59,999;285.0
2005-08-22, 14:00:00,000;2005-08-22, 14:59:59,999;410.0
2005-08-22, 15:00:00,000;2005-08-22, 15:59:59,999;367.0
2005-08-22, 16:00:00,000;2005-08-22, 16:59:59,999;369.0
2005-08-22, 17:00:00,000;2005-08-22, 17:59:59,999;360.0
2005-08-22, 18:00:00,000;2005-08-22, 18:59:59,999;403.0
2005-08-22, 19:00:00,000;2005-08-22, 19:59:59,999;305.0
2005-08-22, 20:00:00,000;2005-08-22, 20:59:59,999;193.0
2005-08-22, 21:00:00,000;2005-08-22, 21:59:59,999;182.0
2005-08-22, 22:00:00,000;2005-08-22, 22:59:59,999;125.0
2005-08-22, 23:00:00,000;2005-08-22, 23:59:59,999;78.0
2005-08-23, 00:00:00,000;2005-08-23, 00:59:59,999;65.0
2005-08-23, 01:00:00,000;2005-08-23, 01:59:59,999;35.0
2005-08-23, 02:00:00,000;2005-08-23, 02:59:59,999;24.0
2005-08-23, 03:00:00,000;2005-08-23, 03:59:59,999;19.0
2005-08-23, 04:00:00,000;2005-08-23, 04:59:59,999;43.0
2005-08-23, 05:00:00,000;2005-08-23, 05:59:59,999;89.0
2005-08-23, 06:00:00,000;2005-08-23, 06:59:59,999;209.0
2005-08-23, 07:00:00,000;2005-08-23, 07:59:59,999;423.0
2005-08-23, 08:00:00,000;2005-08-23, 08:59:59,999;446.0
2005-08-23, 09:00:00,000;2005-08-23, 09:59:59,999;384.0
2005-08-23, 10:00:00,000;2005-08-23, 10:59:59,999;350.0
2005-08-23, 11:00:00,000;2005-08-23, 11:59:59,999;287.0
2005-08-23, 12:00:00,000;2005-08-23, 12:59:59,999;306.0
2005-08-23, 13:00:00,000;2005-08-23, 13:59:59,999;307.0
2005-08-23, 14:00:00,000;2005-08-23, 14:59:59,999;359.0
2005-08-23, 15:00:00,000;2005-08-23, 15:59:59,999;342.0
2005-08-23, 16:00:00,000;2005-08-23, 16:59:59,999;377.0
2005-08-23, 17:00:00,000;2005-08-23, 17:59:59,999;345.0
2005-08-23, 18:00:00,000;2005-08-23, 18:59:59,999;346.0
2005-08-23, 19:00:00,000;2005-08-23, 19:59:59,999;347.0
2005-08-23, 20:00:00,000;2005-08-23, 20:59:59,999;231.0
2005-08-23, 21:00:00,000;2005-08-23, 21:59:59,999;343.0
2005-08-23, 22:00:00,000;2005-08-23, 22:59:59,999;287.0
2005-08-23, 23:00:00,000;2005-08-23, 23:59:59,999;94.0
2005-08-24, 00:00:00,000;2005-08-24, 00:59:59,999;52.0
2005-08-24, 01:00:00,000;2005-08-24, 01:59:59,999;44.0
2005-08-24, 02:00:00,000;2005-08-24, 02:59:59,999;32.0
2005-08-24, 03:00:00,000;2005-08-24, 03:59:59,999;17.0
2005-08-24, 04:00:00,000;2005-08-24, 04:59:59,999;41.0
2005-08-24, 05:00:00,000;2005-08-24, 05:59:59,999;111.0
2005-08-24, 06:00:00,000;2005-08-24, 06:59:59,999;224.0
2005-08-24, 07:00:00,000;2005-08-24, 07:59:59,999;382.0
2005-08-24, 08:00:00,000;2005-08-24, 08:59:59,999;469.0
2005-08-24, 09:00:00,000;2005-08-24, 09:59:59,999;371.0
2005-08-24, 10:00:00,000;2005-08-24, 10:59:59,999;356.0
2005-08-24, 11:00:00,000;2005-08-24, 11:59:59,999;285.0
2005-08-24, 12:00:00,000;2005-08-24, 12:59:59,999;296.0
2005-08-24, 13:00:00,000;2005-08-24, 13:59:59,999;296.0
2005-08-24, 14:00:00,000;2005-08-24, 14:59:59,999;319.0
2005-08-24, 15:00:00,000;2005-08-24, 15:59:59,999;382.0
2005-08-24, 16:00:00,000;2005-08-24, 16:59:59,999;404.0
2005-08-24, 17:00:00,000;2005-08-24, 17:59:59,999;338.0
2005-08-24, 18:00:00,000;2005-08-24, 18:59:59,999;341.0
2005-08-24, 19:00:00,000;2005-08-24, 19:59:59,999;339.0
2005-08-24, 20:00:00,000;2005-08-24, 20:59:59,999;243.0
2005-08-24, 21:00:00,000;2005-08-24, 21:59:59,999;270.0
2005-08-24, 22:00:00,000;2005-08-24, 22:59:59,999;383.0
2005-08-24, 23:00:00,000;2005-08-24, 23:59:59,999;111.0
2005-08-25, 00:00:00,000;2005-08-25, 00:59:59,999;50.0
2005-08-25, 01:00:00,000;2005-08-25, 01:59:59,999;59.0
2005-08-25, 02:00:00,000;2005-08-25, 02:59:59,999;38.0
2005-08-25, 03:00:00,000;2005-08-25, 03:59:59,999;23.0
2005-08-25, 04:00:00,000;2005-08-25, 04:59:59,999;35.0
2005-08-25, 05:00:00,000;2005-08-25, 05:59:59,999;110.0
2005-08-25, 06:00:00,000;2005-08-25, 06:59:59,999;232.0
2005-08-25, 07:00:00,000;2005-08-25, 07:59:59,999;421.0
2005-08-25, 08:00:00,000;2005-08-25, 08:59:59,999;449.0
2005-08-25, 09:00:00,000;2005-08-25, 09:59:59,999;387.0
2005-08-25, 10:00:00,000;2005-08-25, 10:59:59,999;332.0
2005-08-25, 11:00:00,000;2005-08-25, 11:59:59,999;321.0
2005-08-25, 12:00:00,000;2005-08-25, 12:59:59,999;291.0
2005-08-25, 13:00:00,000;2005-08-25, 13:59:59,999;286.0
2005-08-25, 14:00:00,000;2005-08-25, 14:59:59,999;369.0
2005-08-25, 15:00:00,000;2005-08-25, 15:59:59,999;450.0
2005-08-25, 16:00:00,000;2005-08-25, 16:59:59,999;410.0
2005-08-25, 17:00:00,000;2005-08-25, 17:59:59,999;379.0
2005-08-25, 18:00:00,000;2005-08-25, 18:59:59,999;427.0
2005-08-25, 19:00:00,000;2005-08-25, 19:59:59,999;330.0
2005-08-25, 20:00:00,000;2005-08-25, 20:59:59,999;256.0
2005-08-25, 21:00:00,000;2005-08-25, 21:59:59,999;252.0
2005-08-25, 22:00:00,000;2005-08-25, 22:59:59,999;413.0
2005-08-25, 23:00:00,000;2005-08-25, 23:59:59,999;143.0
2005-08-26, 00:00:00,000;2005-08-26, 00:59:59,999;56.0
2005-08-26, 01:00:00,000;2005-08-26, 01:59:59,999;51.0
2005-08-26, 02:00:00,000;2005-08-26, 02:59:59,999;45.0
2005-08-26, 03:00:00,000;2005-08-26, 03:59:59,999;35.0
2005-08-26, 04:00:00,000;2005-08-26, 04:59:59,999;45.0
2005-08-26, 05:00:00,000;2005-08-26, 05:59:59,999;106.0
2005-08-26, 06:00:00,000;2005-08-26, 06:59:59,999;213.0
2005-08-26, 07:00:00,000;2005-08-26, 07:59:59,999;392.0
2005-08-26, 08:00:00,000;2005-08-26, 08:59:59,999;421.0
2005-08-26, 09:00:00,000;2005-08-26, 09:59:59,999;401.0
2005-08-26, 10:00:00,000;2005-08-26, 10:59:59,999;319.0
2005-08-26, 11:00:00,000;2005-08-26, 11:59:59,999;368.0
2005-08-26, 12:00:00,000;2005-08-26, 12:59:59,999;309.0
2005-08-26, 13:00:00,000;2005-08-26, 13:59:59,999;338.0
2005-08-26, 14:00:00,000;2005-08-26, 14:59:59,999;391.0
2005-08-26, 15:00:00,000;2005-08-26, 15:59:59,999;406.0
2005-08-26, 16:00:00,000;2005-08-26, 16:59:59,999;389.0
2005-08-26, 17:00:00,000;2005-08-26, 17:59:59,999;354.0
2005-08-26, 18:00:00,000;2005-08-26, 18:59:59,999;329.0
2005-08-26, 19:00:00,000;2005-08-26, 19:59:59,999;358.0
2005-08-26, 20:00:00,000;2005-08-26, 20:59:59,999;259.0
2005-08-26, 21:00:00,000;2005-08-26, 21:59:59,999;357.0
2005-08-26, 22:00:00,000;2005-08-26, 22:59:59,999;500.0
2005-08-26, 23:00:00,000;2005-08-26, 23:59:59,999;209.0
2005-08-27, 00:00:00,000;2005-08-27, 00:59:59,999;100.0
2005-08-27, 01:00:00,000;2005-08-27, 01:59:59,999;86.0
2005-08-27, 02:00:00,000;2005-08-27, 02:59:59,999;77.0
2005-08-27, 03:00:00,000;2005-08-27, 03:59:59,999;33.0
2005-08-27, 04:00:00,000;2005-08-27, 04:59:59,999;44.0
2005-08-27, 05:00:00,000;2005-08-27, 05:59:59,999;52.0
2005-08-27, 06:00:00,000;2005-08-27, 06:59:59,999;117.0
2005-08-27, 07:00:00,000;2005-08-27, 07:59:59,999;170.0
2005-08-27, 08:00:00,000;2005-08-27, 08:59:59,999;222.0
2005-08-27, 09:00:00,000;2005-08-27, 09:59:59,999;288.0
2005-08-27, 10:00:00,000;2005-08-27, 10:59:59,999;258.0
2005-08-27, 11:00:00,000;2005-08-27, 11:59:59,999;282.0
2005-08-27, 12:00:00,000;2005-08-27, 12:59:59,999;348.0
2005-08-27, 13:00:00,000;2005-08-27, 13:59:59,999;347.0
2005-08-27, 14:00:00,000;2005-08-27, 14:59:59,999;333.0
2005-08-27, 15:00:00,000;2005-08-27, 15:59:59,999;340.0
2005-08-27, 16:00:00,000;2005-08-27, 16:59:59,999;300.0
2005-08-27, 17:00:00,000;2005-08-27, 17:59:59,999;302.0
2005-08-27, 18:00:00,000;2005-08-27, 18:59:59,999;305.0
2005-08-27, 19:00:00,000;2005-08-27, 19:59:59,999;371.0
2005-08-27, 20:00:00,000;2005-08-27, 20:59:59,999;279.0
2005-08-27, 21:00:00,000;2005-08-27, 21:59:59,999;415.0
2005-08-27, 22:00:00,000;2005-08-27, 22:59:59,999;443.0
2005-08-27, 23:00:00,000;2005-08-27, 23:59:59,999;151.0
2005-08-28, 00:00:00,000;2005-08-28, 00:59:59,999;122.0
2005-08-28, 01:00:00,000;2005-08-28, 01:59:59,999;105.0
2005-08-28, 02:00:00,000;2005-08-28, 02:59:59,999;75.0
2005-08-28, 03:00:00,000;2005-08-28, 03:59:59,999;58.0
2005-08-28, 04:00:00,000;2005-08-28, 04:59:59,999;54.0
2005-08-28, 05:00:00,000;2005-08-28, 05:59:59,999;50.0
2005-08-28, 06:00:00,000;2005-08-28, 06:59:59,999;71.0
2005-08-28, 07:00:00,000;2005-08-28, 07:59:59,999;121.0
2005-08-28, 08:00:00,000;2005-08-28, 08:59:59,999;174.0
2005-08-28, 09:00:00,000;2005-08-28, 09:59:59,999;235.0
2005-08-28, 10:00:00,000;2005-08-28, 10:59:59,999;274.0
2005-08-28, 11:00:00,000;2005-08-28, 11:59:59,999;289.0
2005-08-28, 12:00:00,000;2005-08-28, 12:59:59,999;247.0
2005-08-28, 13:00:00,000;2005-08-28, 13:59:59,999;339.0
2005-08-28, 14:00:00,000;2005-08-28, 14:59:59,999;346.0
2005-08-28, 15:00:00,000;2005-08-28, 15:59:59,999;493.0
2005-08-28, 16:00:00,000;2005-08-28, 16:59:59,999;514.0
2005-08-28, 17:00:00,000;2005-08-28, 17:59:59,999;294.0
2005-08-28, 18:00:00,000;2005-08-28, 18:59:59,999;277.0
2005-08-28, 19:00:00,000;2005-08-28, 19:59:59,999;275.0
2005-08-28, 20:00:00,000;2005-08-28, 20:59:59,999;246.0
2005-08-28, 21:00:00,000;2005-08-28, 21:59:59,999;152.0
2005-08-28, 22:00:00,000;2005-08-28, 22:59:59,999;149.0
2005-08-28, 23:00:00,000;2005-08-28, 23:59:59,999;127.0
2005-08-29, 00:00:00,000;2005-08-29, 00:59:59,999;59.0
2005-08-29, 01:00:00,000;2005-08-29, 01:59:59,999;63.0
2005-08-29, 02:00:00,000;2005-08-29, 02:59:59,999;30.0
2005-08-29, 03:00:00,000;2005-08-29, 03:59:59,999;40.0
2005-08-29, 04:00:00,000;2005-08-29, 04:59:59,999;42.0
2005-08-29, 05:00:00,000;2005-08-29, 05:59:59,999;99.0
2005-08-29, 06:00:00,000;2005-08-29, 06:59:59,999;220.0
2005-08-29, 07:00:00,000;2005-08-29, 07:59:59,999;348.0
2005-08-29, 08:00:00,000;2005-08-29, 08:59:59,999;387.0
2005-08-29, 09:00:00,000;2005-08-29, 09:59:59,999;350.0
2005-08-29, 10:00:00,000;2005-08-29, 10:59:59,999;365.0
2005-08-29, 11:00:00,000;2005-08-29, 11:59:59,999;301.0
2005-08-29, 12:00:00,000;2005-08-29, 12:59:59,999;288.0
2005-08-29, 13:00:00,000;2005-08-29, 13:59:59,999;327.0
2005-08-29, 14:00:00,000;2005-08-29, 14:59:59,999;345.0
2005-08-29, 15:00:00,000;2005-08-29, 15:59:59,999;445.0
2005-08-29, 16:00:00,000;2005-08-29, 16:59:59,999;372.0
2005-08-29, 17:00:00,000;2005-08-29, 17:59:59,999;347.0
2005-08-29, 18:00:00,000;2005-08-29, 18:59:59,999;411.0
2005-08-29, 19:00:00,000;2005-08-29, 19:59:59,999;275.0
2005-08-29, 20:00:00,000;2005-08-29, 20:59:59,999;207.0
2005-08-29, 21:00:00,000;2005-08-29, 21:59:59,999;167.0
2005-08-29, 22:00:00,000;2005-08-29, 22:59:59,999;115.0
2005-08-29, 23:00:00,000;2005-08-29, 23:59:59,999;99.0
2005-08-30, 00:00:00,000;2005-08-30, 00:59:59,999;64.0
2005-08-30, 01:00:00,000;2005-08-30, 01:59:59,999;32.0
2005-08-30, 02:00:00,000;2005-08-30, 02:59:59,999;22.0
2005-08-30, 03:00:00,000;2005-08-30, 03:59:59,999;30.0
2005-08-30, 04:00:00,000;2005-08-30, 04:59:59,999;42.0
2005-08-30, 05:00:00,000;2005-08-30, 05:59:59,999;94.0
2005-08-30, 06:00:00,000;2005-08-30, 06:59:59,999;222.0
2005-08-30, 07:00:00,000;2005-08-30, 07:59:59,999;398.0
2005-08-30, 08:00:00,000;2005-08-30, 08:59:59,999;493.0
2005-08-30, 09:00:00,000;2005-08-30, 09:59:59,999;4.0
2005-08-30, 10:00:00,000;2005-08-30, 10:59:59,999;1.0
2005-08-30, 11:00:00,000;2005-08-30, 11:59:59,999;5.0
2005-08-30, 12:00:00,000;2005-08-30, 12:59:59,999;0.0
2005-08-30, 13:00:00,000;2005-08-30, 13:59:59,999;145.0
2005-08-30, 14:00:00,000;2005-08-30, 14:59:59,999;368.0
2005-08-30, 15:00:00,000;2005-08-30, 15:59:59,999;439.0
2005-08-30, 16:00:00,000;2005-08-30, 16:59:59,999;410.0
2005-08-30, 17:00:00,000;2005-08-30, 17:59:59,999;390.0
2005-08-30, 18:00:00,000;2005-08-30, 18:59:59,999;375.0
2005-08-30, 19:00:00,000;2005-08-30, 19:59:59,999;335.0
2005-08-30, 20:00:00,000;2005-08-30, 20:59:59,999;216.0
2005-08-30, 21:00:00,000;2005-08-30, 21:59:59,999;174.0
2005-08-30, 22:00:00,000;2005-08-30, 22:59:59,999;151.0
2005-08-30, 23:00:00,000;2005-08-30, 23:59:59,999;105.0
2005-08-31, 00:00:00,000;2005-08-31, 00:59:59,999;67.0
2005-08-31, 01:00:00,000;2005-08-31, 01:59:59,999;35.0
2005-08-31, 02:00:00,000;2005-08-31, 02:59:59,999;27.0
2005-08-31, 03:00:00,000;2005-08-31, 03:59:59,999;23.0
2005-08-31, 04:00:00,000;2005-08-31, 04:59:59,999;37.0
2005-08-31, 05:00:00,000;2005-08-31, 05:59:59,999;108.0
2005-08-31, 06:00:00,000;2005-08-31, 06:59:59,999;246.0
2005-08-31, 07:00:00,000;2005-08-31, 07:59:59,999;456.0
2005-08-31, 08:00:00,000;2005-08-31, 08:59:59,999;402.0
2005-08-31, 09:00:00,000;2005-08-31, 09:59:59,999;390.0
2005-08-31, 10:00:00,000;2005-08-31, 10:59:59,999;331.0
2005-08-31, 11:00:00,000;2005-08-31, 11:59:59,999;282.0
2005-08-31, 12:00:00,000;2005-08-31, 12:59:59,999;291.0
2005-08-31, 13:00:00,000;2005-08-31, 13:59:59,999;311.0
2005-08-31, 14:00:00,000;2005-08-31, 14:59:59,999;332.0
2005-08-31, 15:00:00,000;2005-08-31, 15:59:59,999;366.0
2005-08-31, 16:00:00,000;2005-08-31, 16:59:59,999;452.0
2005-08-31, 17:00:00,000;2005-08-31, 17:59:59,999;405.0
2005-08-31, 18:00:00,000;2005-08-31, 18:59:59,999;402.0
2005-08-31, 19:00:00,000;2005-08-31, 19:59:59,999;321.0
2005-08-31, 20:00:00,000;2005-08-31, 20:59:59,999;210.0
2005-08-31, 21:00:00,000;2005-08-31, 21:59:59,999;197.0
2005-08-31, 22:00:00,000;2005-08-31, 22:59:59,999;154.0
2005-08-31, 23:00:00,000;2005-08-31, 23:59:59,999;87.0
2005-09-01, 00:00:00,000;2005-09-01, 00:59:59,999;102.0
2005-09-01, 01:00:00,000;2005-09-01, 01:59:59,999;91.0
2005-09-01, 02:00:00,000;2005-09-01, 02:59:59,999;89.0
2005-09-01, 03:00:00,000;2005-09-01, 03:59:59,999;56.0
2005-09-01, 04:00:00,000;2005-09-01, 04:59:59,999;66.0
2005-09-01, 05:00:00,000;2005-09-01, 05:59:59,999;103.0
2005-09-01, 06:00:00,000;2005-09-01, 06:59:59,999;218.0
2005-09-01, 07:00:00,000;2005-09-01, 07:59:59,999;482.0
2005-09-01, 08:00:00,000;2005-09-01, 08:59:59,999;443.0
2005-09-01, 09:00:00,000;2005-09-01, 09:59:59,999;412.0
2005-09-01, 10:00:00,000;2005-09-01, 10:59:59,999;324.0
2005-09-01, 11:00:00,000;2005-09-01, 11:59:59,999;282.0
2005-09-01, 12:00:00,000;2005-09-01, 12:59:59,999;337.0
2005-09-01, 13:00:00,000;2005-09-01, 13:59:59,999;301.0
2005-09-01, 14:00:00,000;2005-09-01, 14:59:59,999;371.0
2005-09-01, 15:00:00,000;2005-09-01, 15:59:59,999;439.0
2005-09-01, 16:00:00,000;2005-09-01, 16:59:59,999;392.0
2005-09-01, 17:00:00,000;2005-09-01, 17:59:59,999;418.0
2005-09-01, 18:00:00,000;2005-09-01, 18:59:59,999;405.0
2005-09-01, 19:00:00,000;2005-09-01, 19:59:59,999;332.0
2005-09-01, 20:00:00,000;2005-09-01, 20:59:59,999;270.0
2005-09-01, 21:00:00,000;2005-09-01, 21:59:59,999;210.0
2005-09-01, 22:00:00,000;2005-09-01, 22:59:59,999;178.0
2005-09-01, 23:00:00,000;2005-09-01, 23:59:59,999;123.0
2005-09-02, 00:00:00,000;2005-09-02, 00:59:59,999;69.0
2005-09-02, 01:00:00,000;2005-09-02, 01:59:59,999;46.0
2005-09-02, 02:00:00,000;2005-09-02, 02:59:59,999;32.0
2005-09-02, 03:00:00,000;2005-09-02, 03:59:59,999;32.0
2005-09-02, 04:00:00,000;2005-09-02, 04:59:59,999;31.0
2005-09-02, 05:00:00,000;2005-09-02, 05:59:59,999;111.0
2005-09-02, 06:00:00,000;2005-09-02, 06:59:59,999;232.0
2005-09-02, 07:00:00,000;2005-09-02, 07:59:59,999;449.0
2005-09-02, 08:00:00,000;2005-09-02, 08:59:59,999;420.0
2005-09-02, 09:00:00,000;2005-09-02, 09:59:59,999;357.0
2005-09-02, 10:00:00,000;2005-09-02, 10:59:59,999;341.0
2005-09-02, 11:00:00,000;2005-09-02, 11:59:59,999;329.0
